iter	Passed	Remaining
0	152	152510
1	162	81278
2	167	55694
3	172	43033
4	177	35310
5	182	30177
6	186	26424
7	190	23636
8	196	21599
9	204	20260
10	213	19157
11	232	19134
12	246	18681
13	251	17686
14	256	16812
15	260	16028
16	264	15293
17	268	14660
18	270	13954
19	274	13441
20	278	12983
21	282	12577
22	286	12167
23	290	11804
24	294	11503
25	299	11212
26	302	10916
27	307	10673
28	312	10477
29	319	10326
30	326	10190
31	333	10102
32	342	10039
33	353	10037
34	357	9862
35	361	9670
36	365	9509
37	369	9341
38	378	9331
39	385	9249
40	393	9199
41	398	9095
42	416	9277
43	426	9269
44	432	9181
45	440	9137
46	446	9050
47	451	8955
48	455	8842
49	461	8763
50	470	8752
51	478	8714
52	484	8660
53	488	8561
54	493	8473
55	502	8464
56	510	8449
57	532	8644
58	539	8612
59	545	8548
60	550	8473
61	554	8387
62	559	8317
63	563	8242
64	567	8168
65	572	8099
66	576	8025
67	580	7955
68	583	7878
69	587	7804
70	590	7727
71	593	7655
72	597	7586
73	602	7541
74	606	7480
75	609	7411
76	613	7353
77	617	7296
78	621	7242
79	624	7179
80	627	7122
81	632	7077
82	635	7023
83	638	6962
84	641	6902
85	644	6847
86	647	6789
87	649	6731
88	652	6678
89	654	6622
90	657	6568
91	661	6523
92	663	6474
93	666	6426
94	669	6381
95	673	6339
96	678	6315
97	683	6294
98	687	6256
99	691	6222
100	694	6180
101	698	6147
102	701	6112
103	706	6084
104	710	6054
105	714	6025
106	718	5993
107	723	5972
108	727	5944
109	730	5913
110	734	5882
111	738	5853
112	741	5824
113	745	5791
114	748	5760
115	752	5737
116	755	5703
117	758	5668
118	761	5637
119	764	5606
120	767	5575
121	771	5549
122	774	5521
123	777	5492
124	780	5462
125	783	5431
126	785	5400
127	788	5369
128	791	5340
129	793	5312
130	796	5284
131	799	5257
132	802	5230
133	805	5204
134	809	5185
135	812	5163
136	816	5146
137	820	5123
138	823	5103
139	830	5104
140	835	5092
141	839	5071
142	843	5053
143	847	5036
144	850	5016
145	854	4996
146	857	4974
147	860	4952
148	863	4932
149	867	4915
150	871	4898
151	875	4884
152	880	4874
153	886	4868
154	891	4857
155	894	4841
156	898	4821
157	902	4809
158	905	4791
159	908	4772
160	912	4754
161	916	4739
162	920	4725
163	923	4709
164	927	4694
165	931	4678
166	934	4661
167	937	4645
168	940	4626
169	943	4608
170	947	4593
171	950	4577
172	954	4562
173	958	4547
174	960	4529
175	963	4511
176	966	4494
177	969	4477
178	972	4461
179	976	4446
180	978	4429
181	981	4412
182	985	4400
183	992	4402
184	997	4392
185	1000	4378
186	1004	4365
187	1011	4368
188	1016	4363
189	1031	4399
190	1039	4404
191	1045	4399
192	1050	4392
193	1056	4388
194	1061	4382
195	1065	4371
196	1069	4360
197	1080	4374
198	1090	4387
199	1108	4433
200	1115	4432
201	1119	4421
202	1123	4410
203	1127	4399
204	1131	4388
205	1135	4376
206	1140	4368
207	1143	4354
208	1147	4341
209	1152	4334
210	1158	4330
211	1164	4327
212	1169	4321
213	1173	4310
214	1177	4299
215	1180	4286
216	1186	4282
217	1196	4293
218	1202	4288
219	1208	4286
220	1216	4286
221	1220	4278
222	1226	4273
223	1230	4263
224	1233	4250
225	1239	4243
226	1245	4241
227	1252	4239
228	1259	4240
229	1264	4234
230	1268	4224
231	1275	4222
232	1283	4223
233	1287	4215
234	1293	4210
235	1298	4202
236	1303	4195
237	1307	4185
238	1312	4180
239	1317	4172
240	1320	4159
241	1323	4146
242	1325	4129
243	1328	4116
244	1332	4105
245	1336	4095
246	1339	4083
247	1342	4070
248	1347	4062
249	1350	4051
250	1353	4039
251	1357	4027
252	1360	4016
253	1364	4007
254	1367	3995
255	1371	3985
256	1375	3978
257	1379	3968
258	1383	3958
259	1386	3947
260	1390	3938
261	1395	3930
262	1398	3919
263	1401	3908
264	1406	3899
265	1410	3892
266	1414	3883
267	1418	3873
268	1422	3865
269	1425	3854
270	1428	3843
271	1432	3833
272	1436	3824
273	1439	3814
274	1443	3805
275	1446	3794
276	1450	3786
277	1456	3782
278	1461	3777
279	1481	3808
280	1485	3802
281	1491	3796
282	1496	3792
283	1502	3786
284	1507	3781
285	1512	3775
286	1517	3770
287	1523	3766
288	1528	3759
289	1533	3753
290	1537	3745
291	1541	3738
292	1546	3730
293	1550	3724
294	1555	3717
295	1561	3712
296	1565	3706
297	1569	3697
298	1575	3692
299	1579	3685
300	1587	3686
301	1593	3683
302	1597	3673
303	1600	3664
304	1604	3657
305	1608	3648
306	1612	3639
307	1615	3629
308	1618	3620
309	1623	3613
310	1626	3603
311	1630	3596
312	1634	3587
313	1637	3577
314	1641	3569
315	1644	3560
316	1649	3553
317	1652	3544
318	1656	3535
319	1659	3526
320	1664	3520
321	1668	3512
322	1672	3505
323	1675	3496
324	1679	3488
325	1683	3481
326	1694	3487
327	1706	3497
328	1714	3495
329	1719	3490
330	1725	3486
331	1730	3481
332	1734	3474
333	1739	3467
334	1743	3460
335	1747	3452
336	1750	3443
337	1753	3434
338	1757	3427
339	1761	3418
340	1764	3409
341	1767	3400
342	1772	3394
343	1775	3386
344	1780	3380
345	1785	3374
346	1789	3367
347	1796	3364
348	1802	3363
349	1806	3354
350	1810	3347
351	1815	3341
352	1820	3336
353	1823	3328
354	1827	3320
355	1831	3312
356	1835	3305
357	1838	3296
358	1841	3287
359	1846	3282
360	1849	3274
361	1853	3266
362	1856	3257
363	1858	3247
364	1861	3238
365	1864	3229
366	1867	3221
367	1871	3214
368	1874	3205
369	1877	3196
370	1879	3187
371	1882	3178
372	1886	3171
373	1890	3164
374	1893	3155
375	1896	3146
376	1898	3137
377	1902	3130
378	1906	3123
379	1909	3114
380	1911	3106
381	1914	3097
382	1917	3088
383	1919	3079
384	1922	3071
385	1925	3063
386	1931	3058
387	1934	3050
388	1936	3042
389	1939	3032
390	1941	3024
391	1944	3015
392	1947	3007
393	1949	2999
394	1952	2990
395	1955	2982
396	1958	2974
397	1961	2966
398	1964	2959
399	1967	2951
400	1970	2943
401	1974	2936
402	1978	2931
403	1987	2932
404	1991	2926
405	1994	2918
406	1997	2910
407	2006	2911
408	2011	2907
409	2015	2900
410	2019	2893
411	2023	2887
412	2027	2881
413	2030	2873
414	2034	2867
415	2038	2861
416	2041	2854
417	2044	2846
418	2047	2839
419	2051	2833
420	2055	2826
421	2059	2821
422	2064	2816
423	2067	2808
424	2070	2800
425	2076	2797
426	2081	2793
427	2086	2788
428	2089	2781
429	2092	2774
430	2096	2767
431	2099	2760
432	2102	2753
433	2106	2746
434	2110	2740
435	2114	2735
436	2118	2729
437	2122	2722
438	2126	2717
439	2134	2717
440	2139	2712
441	2143	2706
442	2147	2700
443	2151	2694
444	2154	2686
445	2159	2681
446	2162	2675
447	2178	2683
448	2184	2680
449	2190	2677
450	2197	2675
451	2204	2672
452	2209	2667
453	2220	2670
454	2224	2664
455	2228	2659
456	2234	2654
457	2242	2654
458	2247	2648
459	2251	2642
460	2256	2638
461	2260	2631
462	2263	2625
463	2266	2618
464	2269	2611
465	2273	2605
466	2277	2599
467	2281	2593
468	2284	2586
469	2287	2580
470	2292	2574
471	2296	2568
472	2299	2562
473	2302	2555
474	2305	2548
475	2309	2542
476	2312	2535
477	2317	2530
478	2320	2523
479	2323	2517
480	2326	2510
481	2330	2504
482	2335	2499
483	2338	2493
484	2342	2487
485	2347	2483
486	2353	2479
487	2358	2474
488	2364	2470
489	2369	2466
490	2375	2462
491	2380	2457
492	2384	2452
493	2388	2446
494	2392	2440
495	2397	2435
496	2401	2430
497	2405	2425
498	2411	2421
499	2415	2415
500	2418	2409
501	2422	2403
502	2425	2396
503	2428	2390
504	2431	2383
505	2436	2378
506	2440	2373
507	2443	2366
508	2447	2360
509	2451	2355
510	2454	2349
511	2458	2342
512	2461	2336
513	2464	2330
514	2467	2323
515	2470	2317
516	2474	2311
517	2477	2305
518	2480	2298
519	2482	2291
520	2484	2284
521	2487	2277
522	2489	2270
523	2492	2263
524	2494	2257
525	2498	2251
526	2501	2244
527	2503	2238
528	2509	2234
529	2516	2231
530	2520	2225
531	2523	2219
532	2526	2213
533	2529	2207
534	2531	2200
535	2534	2193
536	2537	2187
537	2539	2181
538	2542	2174
539	2544	2167
540	2547	2161
541	2549	2154
542	2551	2147
543	2553	2140
544	2556	2134
545	2558	2127
546	2560	2120
547	2563	2114
548	2565	2107
549	2567	2100
550	2569	2094
551	2572	2087
552	2574	2080
553	2576	2074
554	2578	2067
555	2580	2060
556	2583	2054
557	2585	2048
558	2588	2041
559	2590	2035
560	2593	2029
561	2595	2023
562	2598	2017
563	2601	2010
564	2603	2004
565	2606	1998
566	2608	1992
567	2611	1986
568	2614	1980
569	2616	1973
570	2619	1967
571	2621	1961
572	2623	1955
573	2626	1949
574	2628	1942
575	2631	1937
576	2634	1931
577	2637	1925
578	2640	1920
579	2645	1915
580	2649	1910
581	2653	1905
582	2656	1900
583	2661	1895
584	2664	1890
585	2667	1884
586	2670	1878
587	2675	1874
588	2680	1870
589	2684	1865
590	2689	1861
591	2695	1857
592	2702	1854
593	2706	1850
594	2712	1846
595	2720	1843
596	2724	1839
597	2729	1834
598	2736	1831
599	2740	1827
600	2744	1821
601	2747	1816
602	2751	1811
603	2755	1806
604	2760	1802
605	2767	1799
606	2771	1794
607	2775	1789
608	2779	1784
609	2784	1779
610	2788	1775
611	2799	1775
612	2806	1771
613	2809	1766
614	2813	1761
615	2816	1756
616	2820	1750
617	2823	1745
618	2826	1739
619	2829	1734
620	2832	1728
621	2835	1723
622	2838	1717
623	2840	1711
624	2844	1706
625	2847	1701
626	2852	1696
627	2856	1691
628	2859	1686
629	2862	1681
630	2865	1675
631	2868	1670
632	2872	1665
633	2877	1661
634	2881	1656
635	2885	1651
636	2888	1646
637	2891	1640
638	2895	1635
639	2901	1632
640	2904	1626
641	2908	1621
642	2913	1617
643	2917	1612
644	2922	1608
645	2928	1604
646	2931	1599
647	2939	1596
648	2947	1594
649	2952	1590
650	2956	1585
651	2961	1580
652	2964	1575
653	2968	1570
654	2972	1565
655	2975	1560
656	2978	1555
657	2981	1549
658	2984	1544
659	2988	1539
660	2991	1534
661	2995	1529
662	2999	1524
663	3006	1521
664	3013	1517
665	3018	1514
666	3022	1509
667	3029	1505
668	3034	1501
669	3038	1496
670	3042	1491
671	3046	1487
672	3050	1482
673	3054	1477
674	3058	1472
675	3062	1467
676	3066	1462
677	3069	1457
678	3073	1452
679	3077	1448
680	3080	1443
681	3084	1438
682	3089	1433
683	3093	1428
684	3097	1424
685	3101	1419
686	3105	1414
687	3108	1409
688	3112	1404
689	3114	1399
690	3118	1394
691	3122	1389
692	3125	1384
693	3128	1379
694	3131	1374
695	3134	1369
696	3138	1364
697	3142	1359
698	3146	1354
699	3150	1350
700	3153	1345
701	3157	1340
702	3161	1335
703	3165	1330
704	3169	1326
705	3173	1321
706	3177	1316
707	3181	1312
708	3186	1307
709	3189	1302
710	3193	1298
711	3201	1294
712	3205	1290
713	3209	1285
714	3213	1281
715	3218	1276
716	3222	1271
717	3225	1266
718	3228	1261
719	3232	1256
720	3235	1251
721	3238	1247
722	3242	1242
723	3245	1237
724	3249	1232
725	3253	1227
726	3256	1222
727	3260	1218
728	3263	1213
729	3266	1208
730	3269	1203
731	3274	1198
732	3278	1194
733	3283	1189
734	3286	1185
735	3290	1180
736	3294	1175
737	3297	1170
738	3300	1165
739	3304	1161
740	3308	1156
741	3312	1151
742	3316	1147
743	3320	1142
744	3324	1138
745	3328	1133
746	3332	1128
747	3336	1123
748	3341	1119
749	3344	1114
750	3348	1110
751	3352	1105
752	3356	1100
753	3360	1096
754	3364	1091
755	3367	1086
756	3371	1082
757	3375	1077
758	3378	1072
759	3381	1067
760	3385	1063
761	3389	1058
762	3392	1053
763	3397	1049
764	3401	1044
765	3405	1040
766	3408	1035
767	3412	1030
768	3415	1026
769	3418	1021
770	3424	1017
771	3428	1012
772	3433	1008
773	3437	1003
774	3440	998
775	3443	994
776	3447	989
777	3451	984
778	3454	980
779	3458	975
780	3462	970
781	3467	966
782	3471	962
783	3475	957
784	3479	952
785	3482	948
786	3485	943
787	3489	938
788	3492	933
789	3495	929
790	3499	924
791	3503	920
792	3507	915
793	3510	910
794	3514	906
795	3518	901
796	3521	896
797	3525	892
798	3529	887
799	3533	883
800	3537	878
801	3540	874
802	3544	869
803	3546	864
804	3549	859
805	3552	855
806	3558	851
807	3562	846
808	3565	841
809	3567	836
810	3571	832
811	3573	827
812	3577	822
813	3582	818
814	3585	813
815	3588	809
816	3592	804
817	3595	800
818	3599	795
819	3603	790
820	3605	786
821	3609	781
822	3614	777
823	3618	772
824	3621	768
825	3625	763
826	3628	759
827	3632	754
828	3637	750
829	3641	745
830	3644	741
831	3647	736
832	3651	732
833	3653	727
834	3656	722
835	3658	717
836	3661	713
837	3664	708
838	3666	703
839	3669	698
840	3672	694
841	3676	689
842	3679	685
843	3682	680
844	3685	676
845	3689	671
846	3692	667
847	3697	662
848	3700	658
849	3703	653
850	3706	649
851	3710	644
852	3713	639
853	3717	635
854	3720	630
855	3723	626
856	3726	621
857	3729	617
858	3732	612
859	3734	607
860	3737	603
861	3740	598
862	3743	594
863	3745	589
864	3748	585
865	3751	580
866	3754	575
867	3757	571
868	3760	566
869	3765	562
870	3768	558
871	3771	553
872	3774	549
873	3777	544
874	3780	540
875	3783	535
876	3786	531
877	3789	526
878	3795	522
879	3798	517
880	3801	513
881	3804	508
882	3806	504
883	3809	499
884	3813	495
885	3817	491
886	3821	486
887	3824	482
888	3828	477
889	3831	473
890	3834	469
891	3837	464
892	3840	460
893	3843	455
894	3847	451
895	3850	446
896	3853	442
897	3857	438
898	3860	433
899	3864	429
900	3868	425
901	3870	420
902	3874	416
903	3877	411
904	3880	407
905	3884	403
906	3887	398
907	3890	394
908	3895	389
909	3898	385
910	3902	381
911	3907	377
912	3911	372
913	3916	368
914	3919	364
915	3923	359
916	3927	355
917	3930	351
918	3933	346
919	3936	342
920	3939	337
921	3942	333
922	3944	329
923	3947	324
924	3949	320
925	3952	315
926	3956	311
927	3959	307
928	3962	302
929	3966	298
930	3969	294
931	3972	289
932	3974	285
933	3977	281
934	3980	276
935	3982	272
936	3985	267
937	3988	263
938	3990	259
939	3992	254
940	3995	250
941	3997	246
942	4000	241
943	4003	237
944	4005	233
945	4008	228
946	4010	224
947	4013	220
948	4017	215
949	4021	211
950	4024	207
951	4028	203
952	4032	198
953	4038	194
954	4044	190
955	4050	186
956	4055	182
957	4059	177
958	4064	173
959	4068	169
960	4070	165
961	4073	160
962	4077	156
963	4080	152
964	4083	148
965	4086	143
966	4089	139
967	4093	135
968	4096	131
969	4099	126
970	4102	122
971	4107	118
972	4114	114
973	4118	109
974	4122	105
975	4125	101
976	4129	97
977	4132	92
978	4135	88
979	4138	84
980	4140	80
981	4143	75
982	4145	71
983	4148	67
984	4151	63
985	4155	58
986	4158	54
987	4163	50
988	4166	46
989	4168	42
990	4171	37
991	4174	33
992	4177	29
993	4181	25
994	4184	21
995	4187	16
996	4190	12
997	4193	8
998	4196	4
999	4199	0
